,1.0,Timestamp,Which state are you in?,What city are you in,,I am a :,My race/ethnicity is:,My Age:,My Marital Status:,Education Level:,My Partner's race/ethnicity is:,My Partner's Age:,My Partner's Marital Status:,My Partner's Education Level:,Length of Time Together,Number of Dates (Monthly),Arrangement Questions [Are you Exclusive?],Arrangement Questions [Do you have more than one SR?],Arrangement Questions [Does your partner know your real Identity?],Arrangement Questions [Are your dates indoor only?],Arrangement Questions [Do you have overnight dates or travel together?],Arrangement Questions [Do you give or receive more for overnights or travel?],Arrangement Questions [Do you give or receive gifts on top of allowance?],Allowance Type:,PPM/Weekly Allowance Amount:,Allowance Amount: (Actual amount received or given. Not total budget. For gifts and experience only arrangements select how much spent on a monthly basis.),How happy are you with your current arrangement?,Are you satisfied with how much you receive or give financially?,Are you satisfied with how much time you spend together?,I feel I am getting enough effort/financial support from my partner for the money I spend/effort I put into the relationship?
27,28.0,2/18/2024 14:44:29,Florida,Jacksonville,,Sugar Daddy,White / Caucasian,46-55,Single,Masters,Latin / Hispanic,18-25,Single,Bachelor Degree,4-6 months,3-4,Yes,Yes,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),$500-$599,,8,8,8,8
28,29.0,2/20/2024 23:10:16,Florida,Miami,,Sugar Baby Female,Mixed,18-25,Single,Bachelor Degree,White / Caucasian,46-55,Single,Bachelor Degree,More than 1 year,3-4,Yes,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$3k-$3,999",1,1,5,1
29,30.0,2/21/2024 15:37:14,Florida,pompano beach,,Sugar Baby Female,White / Caucasian,18-25,Single,High School Diploma,White / Caucasian,26-35,Single,Bachelor Degree,Less than a month,1-2,Yes,No,Yes,No,No,No,No,Pay Per Meet (PPM),$500-$599,,4,2,5,2
30,31.0,2/22/2024 18:59:01,Florida,Largo,,Sugar Baby Female,White / Caucasian,18-25,Single,Some College,Latin / Hispanic,36-45,Single,Masters,4-6 months,3-4,No,No,Yes,No,Yes,Yes,Yes,Weekly Allowance,$400-$499,,10,9,8,8
31,32.0,3/20/2024 0:22:19,Florida,Tampa,,Sugar Baby Female,Latin / Hispanic,18-25,Single,Bachelor Degree,Mixed,36-45,Divorced,Doctorate,Less than a month,1-2,No,No,Yes,No,Yes,No,Yes,Weekly Allowance,$800-$899,,8,8,8,8
32,33.0,3/22/2024 11:06:57,Florida,Tampa,,Sugar Daddy,White / Caucasian,36-45,Single,Some College,White / Caucasian,26-35,Single,Some College,4-6 months,3-4,No,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$2k-$2,999",10,9,7,7
33,34.0,3/30/2024 1:17:06,Florida,Saint Cloud,,Sugar Baby Female,Latin / Hispanic,18-25,Single,Associate Degree,White / Caucasian,46-55,Single,Associate Degree,1-3 months,3-4,Yes,No,Yes,Yes,No,No,Yes,Pay Per Meet (PPM),$400-$499,,4,4,6,3
34,35.0,3/31/2024 14:03:00,Florida,Plantation,,Sugar Baby Female,Latin / Hispanic,26-35,Single,Masters,White / Caucasian,46-55,Divorced,Doctorate,4-6 months,3-4,No,Yes,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),$600-$699,,8,5,9,5
35,36.0,4/2/2024 19:36:23,Florida,Jacksonville,,Sugar Baby Female,Black/African Descent,36-45,Separated,Bachelor Degree,Black/African Descent,56-65,Married,Masters,1-3 months,1-2,No,Yes,Yes,Yes,No,No,Yes,Weekly Allowance,$300-$399,,8,8,10,5
36,37.0,4/13/2024 11:44:12,Florida,Saint Petersburg,,Sugar Baby Female,White / Caucasian,36-45,Widow,High School Diploma,White / Caucasian,56-65,Married,Some College,Less than a month,7-8,No,No,Yes,Yes,No,Yes,No,Pay Per Meet (PPM),$500-$599,,8,7,10,6
37,38.0,4/24/2024 14:09:33,Florida,Port St. Lucie,,Sugar Daddy,White / Caucasian,66-75,Divorced,Masters,Latin / Hispanic,26-35,Single,Some College,More than 1 year,3-4,Yes,No,Yes,No,No,No,Yes,Pay Per Meet (PPM),< $300,,9,10,8,9
38,39.0,5/2/2024 19:37:20,Florida,Orlando,,Sugar Daddy,White / Caucasian,56-65,Divorced,Bachelor Degree,Latin / Hispanic,36-45,Divorced,High School Diploma,1-3 months,3-4,Yes,Yes,Yes,No,No,No,Yes,Pay Per Meet (PPM),$400-$499,,5,10,5,5
39,40.0,5/8/2024 11:11:53,Florida,Pensacola,,Sugar Baby Female,White / Caucasian,46-55,Divorced,Masters,White / Caucasian,56-65,Married,High School Diploma,1-3 months,1-2,Yes,No,Yes,Yes,No,No,Yes,Monthly Allowance,,"$1k- $1,999",6,7,5,7
40,41.0,5/21/2024 16:44:27,Florida,Tampa,,Sugar Baby Female,White / Caucasian,36-45,Divorced,Masters,Latin / Hispanic,36-45,Single,Bachelor Degree,7-9 months,5-6,Yes,No,Yes,No,Yes,No,Yes,Monthly Allowance,,"$3k-$3,999",8,9,9,9
41,42.0,5/21/2024 20:08:39,Florida,Naples,,Sugar Daddy,White / Caucasian,56-65,Married,Masters,White / Caucasian,36-45,Single,Bachelor Degree,7-9 months,1-2,No,Yes,No,Yes,No,Yes,Yes,Pay Per Meet (PPM),$500-$599,,8,9,6,7
42,43.0,5/22/2024 9:48:19,Florida,Miami,,Sugar Daddy,East Indian,46-55,Married,Masters,White / Caucasian,26-35,Single,Bachelor Degree,Less than a month,1-2,No,No,No,Yes,No,No,Yes,Pay Per Meet (PPM),$700-$799,,8,8,9,7
43,44.0,6/4/2024 2:04:13,Florida,tampa,,Sugar Baby Female,Asian,26-35,Divorced,Bachelor Degree,Black/African Descent,36-45,Divorced,Some College,Less than a month,3-4,No,Yes,No,No,No,No,No,Pay Per Meet (PPM),$500-$599,,7,5,10,6
44,45.0,6/13/2024 1:32:45,Florida,Boca Raton,,Sugar Baby Male,White / Caucasian,26-35,Single,Bachelor Degree,,46-55,Divorced,Masters,1-3 months,3-4,No,Yes,Yes,No,Yes,Yes,No,Monthly Allowance,,"$3k-$3,999",5,5,5,5
45,46.0,6/13/2024 21:29:49,Florida,Tampa,,Sugar Baby Female,Latin / Hispanic,26-35,Single,Bachelor Degree,East Indian,36-45,Divorced,Doctorate,Less than a month,3-4,No,Yes,No,No,No,No,No,Pay Per Meet (PPM),< $300,,5,5,5,5
46,47.0,6/14/2024 18:53:18,Florida,Orlando,,Sugar Baby Female,White / Caucasian,26-35,Single,Associate Degree,Asian,46-55,Divorced,Doctorate,1-3 months,3-4,Yes,No,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),"$1k - $1,999",,10,10,6,8
47,48.0,6/26/2024 0:08:42,Florida,Tampa,,Sugar Daddy,White / Caucasian,46-55,Divorced,Masters,White / Caucasian,18-25,Single,Masters,10-12 months,10+,Yes,No,Yes,No,Yes,No,Yes,Weekly Allowance,$400-$499,,8,8,10,10
48,49.0,6/29/2024 20:58:02,Florida,St. Augustine,,Sugar Baby Female,White / Caucasian,26-35,Married,Associate Degree,White / Caucasian,56-65,Married,Masters,1-3 months,3-4,No,Yes,No,Yes,No,No,No,Pay Per Meet (PPM),$700-$799,,5,6,5,5
49,50.0,7/6/2024 1:11:17,Florida,Tampa,,Sugar Baby Female,Latin / Hispanic,36-45,Divorced,Less than High School,White / Caucasian,56-65,Married,Some College,4-6 months,5-6,Yes,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$6k-$6,999",5,5,5,6
50,51.0,7/18/2024 8:21:42,Florida,Orlando,,Sugar Baby Female,Latin / Hispanic,26-35,Single,Some College,Black/African Descent,26-35,Single,Masters,Less than a month,1-2,No,Yes,Yes,Yes,No,No,No,Pay Per Meet (PPM),"$1k - $1,999",,8,9,7,9
51,52.0,7/18/2024 12:51:30,Florida,Saint Petersburg,,Sugar Baby Female,White / Caucasian,36-45,Divorced,Associate Degree,White / Caucasian,36-45,Divorced,Some College,4-6 months,3-4,Yes,No,Yes,No,Yes,No,Yes,Monthly Allowance,,"$2k-$2,999",8,9,9,9
52,53.0,7/22/2024 9:57:22,Florida,Tampa,,Sugar Baby Female,White / Caucasian,36-45,Married,Some College,White / Caucasian,66-75,Married,Associate Degree,1-3 months,3-4,Yes,No,Yes,Yes,No,No,Yes,Monthly Allowance,,"$1k- $1,999",2,2,7,2
53,54.0,7/24/2024 7:10:02,Florida,Miami,,Sugar Daddy,White / Caucasian,36-45,Single,Bachelor Degree,Mixed,26-35,Single,Bachelor Degree,Less than a month,1-2,No,Yes,No,No,No,Yes,Yes,Pay Per Meet (PPM),$400-$499,,8,6,10,8
54,55.0,7/24/2024 13:45:31,Florida,Orlando,,Sugar Baby Female,Haitian and Indian,36-45,Divorced,Bachelor Degree,Middle Eastern,56-65,Divorced,Doctorate,More than 1 year,10+,Yes,Yes,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),$500-$599,,5,4,10,5
55,56.0,7/25/2024 4:31:02,Florida,Naples,,Sugar Baby Female,White / Caucasian,26-35,Single,Associate Degree,White / Caucasian,66-75,Married,Bachelor Degree,4-6 months,5-6,Yes,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,$10k or more,7,7,7,4
56,57.0,8/8/2024 7:58:30,Florida,Orlando,,Sugar Baby Female,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,36-45,Divorced,Doctorate,More than 1 year,5-6,No,Yes,Yes,No,Yes,No,Yes,Pay Per Meet (PPM),< $300,,8,7,10,10
57,58.0,9/6/2024 15:11:24,Florida,Cocoa Beach,,Sugar Baby Female,White / Caucasian,36-45,Divorced,Bachelor Degree,White / Caucasian,66-75,Divorced,Masters,More than 1 year,7-8,Yes,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$2k-$2,999",9,10,10,10
58,59.0,9/9/2024 14:11:38,Florida,Miami,,Sugar Baby Male,Latin / Hispanic,26-35,Open Relationship,High School Diploma,Latin / Hispanic,18-25,Open Relationship,High School Diploma,More than 1 year,1-2,Yes,No,Yes,No,Yes,No,No,Weekly Allowance,$800-$899,,1,1,10,1
59,60.0,9/12/2024 16:21:11,Florida,Orlando,,Sugar Baby Female,White / Caucasian,26-35,Married,Bachelor Degree,White / Caucasian,36-45,Single,Bachelor Degree,Less than a month,3-4,Yes,No,No,No,No,No,Yes,Weekly Allowance,< $300,,8,7,8,8
60,61.0,9/14/2024 15:21:02,Florida,Orlando,,Sugar Baby Female,Latin / Hispanic,18-25,Single,Bachelor Degree,White / Caucasian,46-55,Separated,Some College,Less than a month,3-4,No,Yes,"Yes, No",No,No,Yes,Yes,Pay Per Meet (PPM),$500-$599,,5,5,5,5
61,62.0,10/3/2024 20:25:30,Florida,Fort Lauderdale,,Sugar Baby Female,White / Caucasian,18-25,Single,Associate Degree,White / Caucasian,56-65,Divorced,Doctorate,4-6 months,1-2,No,No,Yes,Yes,No,No,Yes,Monthly Allowance,,"$3k-$3,999",5,4,10,5
62,63.0,10/13/2024 21:43:10,Florida,West Palm Beach,,Sugar Daddy,White / Caucasian,36-45,Married,Masters,White / Caucasian,18-25,Single,High School Diploma,4-6 months,3-4,Yes,No,No,Yes,No,No,No,Pay Per Meet (PPM),$400-$499,,9,10,8,7
63,64.0,10/19/2024 12:27:15,Florida,Tampa,,Sugar Daddy,White / Caucasian,56-65,Divorced,Associate Degree,White / Caucasian,18-25,Divorced,Some College,More than 1 year,10+,No,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$1k- $1,999",8,9,8,8
64,65.0,10/21/2024 5:50:02,Florida,Manager,,Sugar Daddy,White / Caucasian,36-45,Divorced,Bachelor Degree,White / Caucasian,36-45,Single,Some College,1-3 months,5-6,Yes,No,Yes,No,Yes,Yes,Yes,Weekly Allowance,"$1k - $1,999",,7,5,5,5
65,66.0,10/22/2024 3:13:03,Florida,orlando,,Sugar Baby Female,Latin / Hispanic,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Single,Masters,Less than a month,3-4,Yes,No,Yes,No,Yes,No,Yes,Weekly Allowance,$500-$599,,7,5,7,8
66,67.0,10/22/2024 11:38:08,Florida,Miami,,Sugar Baby Male,Native American,26-35,Single,Bachelor Degree,White / Caucasian,56-65,Single,Bachelor Degree,Less than a month,1-2,No,No,No,No,No,No,No,Pay Per Meet (PPM),$400-$499,,5,2,4,1
67,68.0,10/22/2024 18:38:11,Florida,Lakeland,,Sugar Daddy,Latin / Hispanic,26-35,Divorced,Bachelor Degree,,26-35,Single,Some College,7-9 months,5-6,Yes,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$4k-$4,999",9,8,10,10
68,69.0,10/28/2024 11:34:19,Florida,Miami,,Sugar Daddy,White / Caucasian,56-65,Divorced,Masters,Latin / Hispanic,18-25,Divorced,High School Diploma,4-6 months,5-6,Yes,No,Yes,Yes,No,No,Yes,Gifts and Experiences,,"$4k-$4,999",5,5,5,6
69,70.0,11/1/2024 23:12:24,Florida,MÃ­ami,,Sugar Daddy,White / Caucasian,46-55,Separated,Bachelor Degree,White / Caucasian,26-35,Single,Bachelor Degree,1-3 months,3-4,No,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$1k- $1,999",9,9,9,9
70,71.0,11/6/2024 15:00:12,Florida,Miami,,Sugar Daddy,Black/African Descent,26-35,Single,Bachelor Degree,Black/African Descent,26-35,Single,Some College,Less than a month,1-2,No,No,Yes,Yes,No,No,No,Pay Per Meet (PPM),$400-$499,,4,4,4,4
71,72.0,11/7/2024 10:22:22,Florida,Miami,,Sugar Daddy,Latin / Hispanic,36-45,Single,Bachelor Degree,Latin / Hispanic,36-45,Single,High School Diploma,Less than a month,3-4,No,No,No,No,No,No,No,Monthly Allowance,,"$1k- $1,999",6,7,7,7
72,73.0,11/10/2024 5:25:19,Florida,miami,,Sugar Daddy,Mixed,26-35,Married,Masters,Mixed,18-25,Single,Some College,1-3 months,3-4,No,No,No,No,Yes,No,"Yes, No",Monthly Allowance,,"$1k- $1,999",10,9,9,9
73,74.0,11/13/2024 7:04:14,Florida,Lakeland,,Sugar Daddy,White / Caucasian,46-55,Single,Masters,Latin / Hispanic,26-35,Single,Some College,Less than a month,7-8,No,Yes,Yes,No,No,No,Yes,Pay Per Meet (PPM),$600-$699,,5,5,5,5
74,75.0,11/15/2024 13:52:11,Florida,Orlando,,Sugar Baby Female,White / Caucasian,26-35,Single,Associate Degree,White / Caucasian,56-65,Married,Bachelor Degree,1-3 months,3-4,No,Yes,Yes,Yes,No,No,Yes,Pay Per Meet (PPM),$400-$499,,10,10,10,10
75,76.0,11/26/2024 3:38:48,Florida,Miami,,Sugar Baby Female,White / Caucasian,26-35,Single,Some College,White / Caucasian,46-55,Single,Bachelor Degree,4-6 months,3-4,No,Yes,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),"$1k - $1,999",,9,9,8,9
76,77.0,12/16/2024 9:24:58,Florida,Orlando,,Sugar Baby Female,Latin / Hispanic,18-25,Single,Masters,White / Caucasian,26-35,Single,Masters,Less than a month,10+,Yes,No,Yes,Yes,Yes,Yes,Yes,Monthly Allowance,,$10k or more,10,10,10,10
77,78.0,12/24/2024 16:45:39,Florida,Lakeland,,Sugar Daddy,White / Caucasian,46-55,Single,Doctorate,White / Caucasian,26-35,Single,High School Diploma,1-3 months,5-6,No,Yes,No,No,No,No,Yes,Pay Per Meet (PPM),$500-$599,,6,5,7,6
78,79.0,12/29/2024 23:33:31,Florida,Boca Raton,,Sugar Baby Female,White / Caucasian,36-45,Single,Doctorate,White / Caucasian,46-55,Married,Bachelor Degree,4-6 months,1-2,No,No,Yes,No,No,No,No,Pay Per Meet (PPM),"$1k - $1,999",,7,8,10,10
79,80.0,12/31/2024 16:08:04,Florida,Pensacola,,Sugar Daddy,White / Caucasian,66-75,Single,Masters,White / Caucasian,18-25,Single,Bachelor Degree,More than 1 year,3-4,Yes,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$2k-$2,999",10,10,10,10
80,81.0,1/1/2025 17:43:36,Florida,West Palm Beach,,Sugar Daddy,White / Caucasian,66-75,Married,Masters,Latin / Hispanic,26-35,Single,Bachelor Degree,10-12 months,3-4,No,Yes,Yes,No,No,No,Yes,Monthly Allowance,,"$1k- $1,999",8,10,10,10
81,82.0,1/3/2025 21:03:26,Florida,Walton,,Sugar Daddy,White / Caucasian,36-45,Separated,Some College,White / Caucasian,18-25,Open Relationship,Some College,1-3 months,1-2,No,No,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),$500-$599,,4,4,4,4
82,83.0,1/23/2024 15:50:47,Georgia,Atlanta,,Sugar Baby Male,Latin / Hispanic,26-35,Single,Associate Degree,Middle Eastern,46-55,Divorced,Doctorate,4-6 months,3-4,Yes,No,Yes,No,Yes,Yes,No,Pay Per Meet (PPM),$400-$499,,9,6,7,6
83,84.0,1/28/2024 23:51:52,Georgia,Grovwtown,,Sugar Baby Female,White / Caucasian,36-45,Single,Some College,White / Caucasian,46-55,Single,Some College,1-3 months,3-4,No,Yes,Yes,Yes,No,No,No,Pay Per Meet (PPM),$400-$499,,5,5,5,5
84,85.0,1/29/2024 12:23:51,Georgia,Oakwood,,Sugar Baby Female,Native American,18-25,Open Relationship,Some College,White / Caucasian,56-65,Widow,Bachelor Degree,Less than a month,10+,Yes,No,No,No,No,No,No,Pay Per Meet (PPM),$600-$699,,10,5,10,4
85,86.0,2/6/2024 20:25:54,Georgia,Atlanta,,Sugar Baby Female,White / Caucasian,26-35,Single,Masters,White / Caucasian,56-65,Divorced,Masters,1-3 months,7-8,Yes,No,Yes,No,Yes,No,No,Weekly Allowance,$400-$499,,8,10,10,10
86,87.0,2/8/2024 9:05:27,Georgia,macon,,Sugar Baby Female,White / Caucasian,18-25,Single,Some College,White / Caucasian,36-45,Divorced,Masters,Less than a month,1-2,Yes,No,No,Yes,Yes,Yes,Yes,Pay Per Meet (PPM),< $300,,4,1,5,4
87,88.0,2/15/2024 20:08:58,Georgia,Stockbridge,,Sugar Baby Male,Black/African Descent,18-25,Open Relationship,High School Diploma,Black/African Descent,18-25,Open Relationship,Bachelor Degree,4-6 months,5-6,No,No,Yes,No,Yes,Yes,Yes,Weekly Allowance,"$1k - $1,999",,1,1,1,5
88,89.0,2/22/2024 3:35:58,Georgia,Atlanta,,Sugar Daddy,White / Caucasian,56-65,Divorced,Masters,White / Caucasian,26-35,Divorced,Some College,7-9 months,5-6,No,Yes,Yes,No,Yes,No,Yes,Monthly Allowance,,"$3k-$3,999",10,6,10,5
89,90.0,2/29/2024 2:15:15,Georgia,Atlanta,,Sugar Baby Female,White / Caucasian,36-45,Separated,High School Diploma,Black/African Descent,36-45,Married,Some College,More than 1 year,5-6,Yes,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$3k-$3,999",10,9,10,6
90,91.0,3/4/2024 2:25:09,Georgia,Atlanta,,Sugar Baby Female,Mixed,18-25,Single,Bachelor Degree,White / Caucasian,76+,Divorced,Masters,More than 1 year,3-4,Yes,No,Yes,Yes,No,Yes,Yes,Pay Per Meet (PPM),"$1k - $1,999",,9,9,9,9
91,92.0,4/10/2024 20:22:39,Georgia,Brookhaven,,Sugar Baby Female,Black/African Descent,26-35,Divorced,Associate Degree,Black/African Descent,46-55,Single,Masters,More than 1 year,3-4,Yes,No,Yes,No,Yes,Yes,Yes,Weekly Allowance,$300-$399,,5,6,4,4
92,93.0,4/24/2024 16:19:38,Georgia,Atlanta,,Sugar Daddy,White / Caucasian,56-65,Married,Masters,White / Caucasian,66-75,Open Relationship,Bachelor Degree,7-9 months,9-10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Pay Per Meet (PPM),< $300,,6,8,8,8
