,1.0,Timestamp,Which state are you in?,What city are you in,,I am a :,My race/ethnicity is:,My Age:,My Marital Status:,Education Level:,My Partner's race/ethnicity is:,My Partner's Age:,My Partner's Marital Status:,My Partner's Education Level:,Length of Time Together,Number of Dates (Monthly),Arrangement Questions [Are you Exclusive?],Arrangement Questions [Do you have more than one SR?],Arrangement Questions [Does your partner know your real Identity?],Arrangement Questions [Are your dates indoor only?],Arrangement Questions [Do you have overnight dates or travel together?],Arrangement Questions [Do you give or receive more for overnights or travel?],Arrangement Questions [Do you give or receive gifts on top of allowance?],Allowance Type:,PPM/Weekly Allowance Amount:,Allowance Amount: (Actual amount received or given. Not total budget. For gifts and experience only arrangements select how much spent on a monthly basis.),How happy are you with your current arrangement?,Are you satisfied with how much you receive or give financially?,Are you satisfied with how much time you spend together?,I feel I am getting enough effort/financial support from my partner for the money I spend/effort I put into the relationship?
10,11.0,7/26/2024 15:35:44,Maryland,Bel Air,,Sugar Baby Female,White / Caucasian,46-55,Single,Bachelor Degree,White / Caucasian,46-55,Single,Doctorate,Less than a month,1-2,No,Yes,No,Yes,No,No,No,Pay Per Meet (PPM),$400-$499,,6,7,5,5
11,12.0,7/28/2024 17:01:41,Maryland,Baltimore and DC,,Sugar Baby Female,White / Caucasian,26-35,Single,High School Diploma,White / Caucasian,56-65,Divorced,Some College,1-3 months,3-4,No,Yes,Yes,No,Yes,Yes,No,Weekly Allowance,"$1k - $1,999",,5,8,6,9
12,13.0,7/28/2024 17:03:01,Maryland,Baltimore,,Sugar Baby Female,White / Caucasian,26-35,Single,High School Diploma,White / Caucasian,36-45,Married,Bachelor Degree,4-6 months,3-4,No,Yes,Yes,Yes,No,No,No,Monthly Allowance,,"$2k-$2,999",9,7,9,9
13,14.0,7/31/2024 10:19:29,Maryland,California,,Sugar Baby Female,White / Caucasian,36-45,Single,Associate Degree,White / Caucasian,56-65,Married,Bachelor Degree,4-6 months,3-4,No,Yes,Yes,Yes,No,No,Yes,Pay Per Meet (PPM),$300-$399,,6,8,9,8
14,15.0,8/7/2024 8:22:22,Maryland,baltimore,,Sugar Daddy,White / Caucasian,46-55,Divorced,Bachelor Degree,White / Caucasian,26-35,Single,Doctorate,More than 1 year,3-4,No,Yes,Yes,No,Yes,No,Yes,Pay Per Meet (PPM),$400-$499,,6,6,6,6
15,16.0,8/17/2024 7:46:28,Maryland,Gaithersburg,,Sugar Daddy,White / Caucasian,56-65,Married,Masters,White / Caucasian,36-45,Single,Masters,10-12 months,5-6,Yes,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,$10k or more,10,10,3,10
16,17.0,9/4/2024 18:43:51,Maryland,Baltimore,,Sugar Baby Female,White / Caucasian,26-35,Single,Some College,Asian,36-45,Married,Bachelor Degree,7-9 months,5-6,No,No,Yes,No,Yes,No,Yes,Pay Per Meet (PPM),"$1k - $1,999",,7,7,4,9
17,18.0,9/26/2024 17:12:24,Maryland,Bethesda,,Sugar Baby Female,Mixed,26-35,Single,Bachelor Degree,,46-55,Single,Masters,Less than a month,3-4,No,No,No,No,No,Yes,Yes,Pay Per Meet (PPM),"$1k - $1,999",,2,2,2,2
18,19.0,10/7/2024 9:09:41,Maryland,Elkton,,Sugar Baby Female,White / Caucasian,26-35,Open Relationship,High School Diploma,White / Caucasian,26-35,Open Relationship,High School Diploma,Less than a month,1-2,No,No,No,Yes,No,Yes,Yes,Pay Per Meet (PPM),$300-$399,,5,5,5,5
19,20.0,11/9/2024 18:24:42,Maryland,Easton,,Sugar Baby Female,Latin / Hispanic,26-35,Single,Some College,Black/African Descent,36-45,Married,Masters,Less than a month,3-4,Yes,No,Yes,No,No,No,Yes,Monthly Allowance,,"$4k-$4,999",9,8,7,8
20,21.0,12/29/2024 17:15:56,Maryland,Elkton,,Sugar Baby Female,White / Caucasian,26-35,Single,Less than High School,White / Caucasian,56-65,Divorced,Bachelor Degree,More than 1 year,3-4,No,No,Yes,No,Yes,No,Yes,Gifts and Experiences,,"$2k-$2,999",7,4,5,4
21,22.0,12/29/2024 19:18:37,Maryland,Bethesda,,Sugar Baby Female,Black/African Descent,26-35,Single,Bachelor Degree,White / Caucasian,66-75,Married,Masters,1-3 months,3-4,No,No,Yes,No,No,Yes,No,Pay Per Meet (PPM),$400-$499,,4,9,1,10
22,23.0,1/21/2024 6:29:21,Virginia,Arlington,,Sugar Daddy,White / Caucasian,36-45,Married,Bachelor Degree,White / Caucasian,36-45,Married,Some College,More than 1 year,10+,Yes,No,Yes,No,Yes,No,Yes,Monthly Allowance,,"$1k- $1,999",10,10,9,10
23,24.0,1/21/2024 9:07:15,Virginia,Alexandria,,Sugar Daddy,White / Caucasian,46-55,Divorced,Doctorate,Asian,18-25,Single,Some College,4-6 months,9-10,Yes,No,Yes,No,Yes,No,Yes,Pay Per Meet (PPM),< $300,,10,10,10,10
24,25.0,1/21/2024 18:08:08,Virginia,Alexandria,,Sugar Baby Female,Asian,26-35,Open Relationship,Bachelor Degree,White / Caucasian,56-65,Married,Bachelor Degree,1-3 months,3-4,No,Yes,Yes,No,No,No,Yes,Monthly Allowance,,"$3k-$3,999",8,7,8,7
25,26.0,1/21/2024 20:59:25,Virginia,richmond,,Sugar Daddy,White / Caucasian,46-55,Single,Masters,Latin / Hispanic,36-45,Single,Bachelor Degree,Less than a month,3-4,No,No,Yes,No,No,No,Yes,Monthly Allowance,,"$1k- $1,999",8,8,8,8
26,27.0,1/23/2024 0:17:40,Virginia,Stafford,,Sugar Baby Female,White / Caucasian,26-35,Married,High School Diploma,Asian,56-65,Married,Bachelor Degree,Less than a month,3-4,Yes,Yes,Yes,Yes,No,No,Yes,Pay Per Meet (PPM),$500-$599,,10,10,10,10
27,28.0,1/23/2024 15:36:21,Virginia,Richmond,,Sugar Baby Female,,18-25,Single,Bachelor Degree,,36-45,Divorced,Bachelor Degree,Less than a month,1-2,No,Yes,Yes,No,No,Yes,Yes,Pay Per Meet (PPM),"$1k - $1,999",,8,8,8,8
28,29.0,2/10/2024 12:02:00,Virginia,Nova,,Sugar Baby Female,Black/African Descent,18-25,Single,Some College,White / Caucasian,56-65,Divorced,Masters,Less than a month,7-8,No,Yes,No,No,Yes,Yes,Yes,Monthly Allowance,,$10k or more,10,10,7,10
29,30.0,2/11/2024 10:44:41,Virginia,Tysons,,Sugar Daddy,White / Caucasian,66-75,Married,Doctorate,Latin / Hispanic,26-35,Single,Bachelor Degree,1-3 months,3-4,No,No,No,No,No,No,Yes,Pay Per Meet (PPM),$400-$499,,9,8,7,7
30,31.0,2/15/2024 11:01:53,Virginia,Fairfax,,Sugar Baby Female,Middle Eastern,18-25,Single,Associate Degree,,46-55,Single,Masters,Less than a month,1-2,Yes,Yes,No,Yes,No,No,Yes,Weekly Allowance,$600-$699,,10,10,10,10
31,32.0,2/21/2024 13:21:30,Virginia,Fairfax,,Sugar Daddy,Black/African Descent,26-35,Single,Masters,Mixed,26-35,Single,Bachelor Degree,7-9 months,3-4,No,No,Yes,Yes,Yes,No,No,Weekly Allowance,$500-$599,,8,5,5,8
32,33.0,2/28/2024 7:46:52,Virginia,Arlington,,Sugar Daddy,White / Caucasian,46-55,Divorced,Doctorate,White / Caucasian,26-35,Single,Bachelor Degree,More than 1 year,3-4,No,Yes,Yes,Yes,No,No,Yes,Monthly Allowance,,"$4k-$4,999",9,9,7,9
33,34.0,3/6/2024 15:25:43,Virginia,Richmond,,Sugar Baby Female,Mixed,18-25,Single,Some College,White / Caucasian,36-45,Single,Bachelor Degree,1-3 months,7-8,Yes,No,Yes,No,No,Yes,No,Pay Per Meet (PPM),$600-$699,,10,7,8,8
34,35.0,3/23/2024 5:15:57,Virginia,Annandale,,Sugar Daddy,White / Caucasian,36-45,Married,Bachelor Degree,Asian,36-45,Married,Masters,More than 1 year,1-2,No,No,Yes,No,No,No,No,Monthly Allowance,,"$1k- $1,999",2,2,2,5
35,36.0,4/20/2024 18:05:45,Virginia,Woodbridge,,Sugar Baby Female,White / Caucasian,26-35,Divorced,Bachelor Degree,White / Caucasian,36-45,Single,Masters,1-3 months,3-4,No,No,Yes,No,No,No,Yes,Pay Per Meet (PPM),$500-$599,,10,10,10,10
36,37.0,4/29/2024 23:20:33,Virginia,Chantilly,,Sugar Daddy,East Indian,46-55,Married,Masters,White / Caucasian,18-25,Single,Bachelor Degree,Less than a month,1-2,Yes,No,Yes,No,No,Yes,No,Pay Per Meet (PPM),$400-$499,,6,6,5,6
37,38.0,5/11/2024 9:19:18,Virginia,Mclean,,Sugar Daddy,East Indian,46-55,Married,Masters,White / Caucasian,36-45,Separated,High School Diploma,More than 1 year,3-4,No,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$6k-$6,999",6,9,6,5
38,39.0,6/11/2024 23:39:36,Virginia,McLean,,Sugar Baby Female,Black/African Descent,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Divorced,Masters,Less than a month,3-4,No,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$5k-$5,999",4,5,5,5
39,40.0,6/14/2024 12:17:41,Virginia,Arlington,,Sugar Daddy,White / Caucasian,46-55,Married,Doctorate,Latin / Hispanic,26-35,Open Relationship,Bachelor Degree,More than 1 year,1-2,No,Yes,No,No,No,No,Yes,Pay Per Meet (PPM),$400-$499,,9,8,8,8
40,41.0,6/23/2024 14:37:55,Virginia,Roanoke,,Sugar Baby Female,White / Caucasian,36-45,Single,Associate Degree,White / Caucasian,66-75,Divorced,Masters,10-12 months,1-2,Yes,No,Yes,No,Yes,No,Yes,Pay Per Meet (PPM),$300-$399,,3,3,3,3
41,42.0,6/24/2024 7:28:27,Virginia,Tysons,,Sugar Daddy,White / Caucasian,66-75,Married,Masters,White / Caucasian,26-35,Single,Masters,More than 1 year,1-2,No,No,Yes,Yes,No,Yes,Yes,Pay Per Meet (PPM),$500-$599,,9,8,7,8
42,43.0,6/29/2024 10:56:41,Virginia,Charlottesville,,Sugar Baby Female,White / Caucasian,18-25,Single,High School Diploma,White / Caucasian,46-55,Single,Bachelor Degree,1-3 months,3-4,No,No,Yes,No,Yes,No,Yes,Gifts and Experiences,,"$1k- $1,999",7,2,9,5
43,44.0,7/2/2024 22:19:55,Virginia,Tyson's,,Sugar Daddy,Asian,36-45,Married,Masters,Asian,36-45,Married,Bachelor Degree,More than 1 year,1-2,No,No,Yes,No,No,No,Yes,Monthly Allowance,,"$1k- $1,999",10,10,5,10
44,45.0,7/4/2024 9:43:53,Virginia,Hampton,,Sugar Baby Female,Black/African Descent,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Single,Bachelor Degree,Less than a month,3-4,Yes,No,Yes,No,Yes,No,Yes,Weekly Allowance,$600-$699,,6,5,7,7
45,46.0,7/12/2024 15:52:38,Virginia,Virginia,,Sugar Daddy,East Indian,26-35,Open Relationship,Masters,White / Caucasian,26-35,Single,Some College,1-3 months,3-4,No,No,Yes,Yes,No,No,Yes,Pay Per Meet (PPM),$300-$399,,7,5,9,7
46,47.0,7/23/2024 11:30:02,Virginia,Richmond,,Sugar Baby Female,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Divorced,Bachelor Degree,7-9 months,3-4,Yes,Yes,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$1k- $1,999",4,2,7,3
47,48.0,7/23/2024 16:23:19,Virginia,Fairfax,,Sugar Daddy,White / Caucasian,26-35,Married,Masters,Mixed,18-25,Single,Some College,1-3 months,1-2,Yes,No,Yes,No,No,Yes,Yes,Gifts and Experiences,,"$1k- $1,999",8,8,8,8
48,49.0,7/25/2024 0:16:30,Virginia,Great Falls,,Sugar Daddy,White / Caucasian,76+,Separated,Masters,White / Caucasian,26-35,Single,Associate Degree,More than 1 year,3-4,No,No,Yes,Yes,No,Yes,Yes,Monthly Allowance,,"$6k-$6,999",10,10,10,10
49,50.0,8/4/2024 0:49:28,Virginia,Chesapeake,,Sugar Daddy,White / Caucasian,36-45,Open Relationship,Bachelor Degree,White / Caucasian,26-35,Married,Associate Degree,More than 1 year,1-2,No,No,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),< $300,,10,8,8,7
50,51.0,8/5/2024 16:32:42,Virginia,Chantilly,,Sugar Daddy,East Indian,36-45,Married,Masters,East Indian,26-35,Divorced,Bachelor Degree,1-3 months,1-2,No,Yes,No,No,No,Yes,Yes,Pay Per Meet (PPM),$400-$499,,10,10,10,10
51,52.0,8/17/2024 7:37:42,Virginia,Arlington,,Sugar Baby Female,White / Caucasian,36-45,Single,Doctorate,East Indian,46-55,Married,Bachelor Degree,More than 1 year,7-8,Yes,No,Yes,No,Yes,No,Yes,Monthly Allowance,,$10k or more,10,8,7,6
52,53.0,8/17/2024 7:39:49,Virginia,Fairfax,,Sugar Daddy,Middle Eastern,36-45,Single,Bachelor Degree,White / Caucasian,36-45,Single,Masters,4-6 months,3-4,No,No,Yes,No,No,Yes,Yes,Pay Per Meet (PPM),"$1k - $1,999",,10,10,10,10
53,54.0,9/10/2024 17:04:03,Virginia,Arlington,,Sugar Daddy,White / Caucasian,56-65,Divorced,Doctorate,White / Caucasian,36-45,Single,Doctorate,4-6 months,3-4,Yes,No,No,No,No,Yes,Yes,Pay Per Meet (PPM),"$1k - $1,999",,8,8,8,8
54,55.0,9/10/2024 20:45:16,Virginia,Fairfax,,Sugar Daddy,East Indian,46-55,Married,Masters,Asian,18-25,Single,Bachelor Degree,4-6 months,3-4,Yes,No,Yes,No,Yes,No,No,Monthly Allowance,,"$2k-$2,999",5,6,5,5
55,56.0,9/19/2024 11:26:26,Virginia,McLean,,Sugar Baby Female,Middle Eastern,26-35,Single,Some College,White / Caucasian,46-55,Married,Masters,Less than a month,1-2,Yes,No,Yes,Yes,No,No,No,Pay Per Meet (PPM),$500-$599,,8,8,9,8
56,57.0,9/20/2024 21:22:56,Virginia,Norfolk,,Sugar Daddy,White / Caucasian,36-45,Single,Masters,White / Caucasian,18-25,Single,High School Diploma,1-3 months,3-4,No,Yes,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),$400-$499,,8,7,8,7
57,58.0,9/25/2024 15:54:18,Virginia,Leesburg,,Sugar Daddy,White / Caucasian,26-35,Single,Masters,White / Caucasian,26-35,Single,Masters,7-9 months,1-2,Yes,No,No,No,No,No,No,Pay Per Meet (PPM),$500-$599,,2,6,2,4
58,59.0,9/26/2024 22:34:03,Virginia,Tysonâs,,Sugar Daddy,White / Caucasian,26-35,Married,Masters,,18-25,Open Relationship,Some College,4-6 months,3-4,Yes,No,Yes,No,No,No,Yes,Pay Per Meet (PPM),$800-$899,,10,10,8,8
59,60.0,10/1/2024 22:55:01,Virginia,rva,,Sugar Baby Female,White / Caucasian,36-45,Single,Bachelor Degree,,56-65,Separated,Masters,4-6 months,5-6,Yes,No,Yes,Yes,No,No,Yes,Pay Per Meet (PPM),$300-$399,,5,5,5,5
60,61.0,10/5/2024 14:34:04,Virginia,Washington D.C,,Sugar Baby Male,White / Caucasian,26-35,Single,Bachelor Degree,Asian,26-35,Single,Bachelor Degree,4-6 months,3-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Monthly Allowance,,"$4k-$4,999",9,9,9,9
61,62.0,10/21/2024 14:51:01,Virginia,Fairfax,,Sugar Daddy,White / Caucasian,46-55,Divorced,Bachelor Degree,White / Caucasian,26-35,Single,High School Diploma,More than 1 year,1-2,No,No,No,Yes,No,No,No,Pay Per Meet (PPM),$400-$499,,5,7,5,6
62,63.0,10/29/2024 18:42:58,Virginia,Charlottesville,,Sugar Daddy,Asian,36-45,Single,Bachelor Degree,Mixed,26-35,Single,Some College,1-3 months,3-4,No,No,No,No,No,No,No,Pay Per Meet (PPM),$400-$499,,4,6,6,6
63,64.0,11/28/2024 22:54:22,Virginia,Reston,,Sugar Daddy,White / Caucasian,66-75,Divorced,Bachelor Degree,Latin / Hispanic,18-25,Single,High School Diploma,7-9 months,3-4,No,No,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),< $300,,9,9,10,9
64,65.0,11/30/2024 23:03:42,Virginia,Virginia Beach,,Sugar Daddy,White / Caucasian,56-65,Widow,Bachelor Degree,White / Caucasian,26-35,Single,High School Diploma,More than 1 year,3-4,Yes,No,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),$600-$699,,8,8,8,8
65,66.0,12/2/2024 8:05:36,Virginia,Aldie,,Sugar Daddy,Middle Eastern,36-45,Married,Masters,Middle Eastern,36-45,Married,Masters,Less than a month,1-2,Yes,No,No,No,Yes,No,Yes,Monthly Allowance,,"$2k-$2,999",8,10,10,10
66,67.0,1/21/2024 16:29:52,Washington D.C.,Washington DC,,Sugar Baby Female,White / Caucasian,46-55,Married,Bachelor Degree,White / Caucasian,46-55,Separated,Masters,1-3 months,3-4,Yes,No,No,No,No,No,Yes,Pay Per Meet (PPM),$1k or more,,6,5,5,6
67,68.0,1/21/2024 16:37:29,Washington D.C.,DC,,Sugar Daddy,,36-45,Divorced,Doctorate,,18-25,Single,Some College,Less than a month,3-4,No,Yes,No,No,Yes,Yes,Yes,Pay Per Meet (PPM),$700-$799,,7,7,7,7
68,69.0,2/3/2024 0:09:49,Washington D.C.,Washington DC,,Sugar Baby Female,Latin / Hispanic,26-35,Single,Some College,White / Caucasian,46-55,Divorced,Masters,1-3 months,1-2,No,Yes,No,No,Yes,Yes,Yes,Pay Per Meet (PPM),$400-$499,,4,4,6,5
69,70.0,2/4/2024 22:00:40,Washington D.C.,washington,,Sugar Daddy,East Indian,36-45,Single,Masters,White / Caucasian,18-25,Single,Some College,4-6 months,3-4,No,Yes,No,No,No,Yes,Yes,Pay Per Meet (PPM),$500-$599,,9,9,10,9
70,71.0,2/6/2024 21:05:37,Washington D.C.,Washington,,Sugar Daddy,White / Caucasian,56-65,Married,Masters,White / Caucasian,26-35,Single,Bachelor Degree,1-3 months,3-4,No,No,No,No,No,No,Yes,Pay Per Meet (PPM),$400-$499,,10,10,9,10
71,72.0,4/23/2024 10:13:50,Washington D.C.,DC,,Sugar Baby Female,Black/African Descent,26-35,Single,Masters,White / Caucasian,46-55,Separated,Doctorate,4-6 months,3-4,No,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$3k-$3,999",8,8,9,9
72,73.0,7/15/2024 12:25:02,Washington D.C.,"Washington, D.C.",,Sugar Baby Female,Black/African Descent,18-25,Single,Some College,Asian,46-55,Married,Bachelor Degree,1-3 months,1-2,No,Yes,Yes,No,No,"Yes, No",Yes,Pay Per Meet (PPM),$600-$699,,10,9,9,9
73,74.0,7/28/2024 13:33:51,Washington D.C.,DC,,Sugar Baby Male,Black/African Descent,18-25,Single,High School Diploma,Black/African Descent,18-25,Single,High School Diploma,1-3 months,10+,Yes,Yes,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$1k- $1,999",7,5,10,8
74,75.0,8/6/2024 20:13:48,Washington D.C.,Washington D.C.,,Sugar Baby Female,White / Caucasian,26-35,Single,Masters,White / Caucasian,46-55,Single,Masters,Less than a month,3-4,No,No,Yes,No,No,No,Yes,Monthly Allowance,,"$2k-$2,999",7,9,5,5
75,76.0,8/21/2024 16:50:17,Washington D.C.,MARIUPOL,,Sugar Mama,White / Caucasian,36-45,Married,Associate Degree,White / Caucasian,26-35,Single,Associate Degree,Less than a month,1-2,Yes,No,Yes,Yes,Yes,Yes,Yes,Pay Per Meet (PPM),< $300,,9,10,10,10
76,77.0,10/11/2024 14:43:02,Washington D.C.,Bethesda,,Sugar Daddy,White / Caucasian,66-75,Divorced,Bachelor Degree,White / Caucasian,26-35,Single,Some College,4-6 months,3-4,No,No,Yes,No,No,Yes,Yes,Pay Per Meet (PPM),$400-$499,,8,8,7,8
77,78.0,10/24/2024 20:20:54,Washington D.C.,Dc,,Sugar Daddy,,36-45,Single,Masters,,26-35,Single,Bachelor Degree,1-3 months,1-2,No,No,No,No,No,No,No,Pay Per Meet (PPM),$500-$599,,10,10,10,10
78,79.0,10/31/2024 7:47:47,Washington D.C.,Dc,,Sugar Baby Female,White / Caucasian,18-25,Single,Some College,White / Caucasian,56-65,Single,Less than High School,Less than a month,3-4,Yes,No,No,Yes,Yes,Yes,Yes,Pay Per Meet (PPM),< $300,,10,10,10,10
79,80.0,11/19/2024 14:02:56,Washington D.C.,Dc,,Sugar Baby Female,Asian,26-35,Single,Masters,,26-35,Single,Masters,Less than a month,1-2,No,No,No,No,No,No,No,Weekly Allowance,$500-$599,,1,1,1,1
80,81.0,12/3/2024 0:57:06,Washington D.C.,Dc,,Sugar Baby Female,Latin / Hispanic,18-25,Single,Bachelor Degree,White / Caucasian,56-65,Single,Bachelor Degree,1-3 months,7-8,Yes,No,Yes,Yes,No,No,No,Pay Per Meet (PPM),$400-$499,,10,6,10,10
81,82.0,10/12/2024 2:50:18,West Virginia,Charleston,,Sugar Baby Female,White / Caucasian,26-35,Single,Some College,White / Caucasian,56-65,Widow,Bachelor Degree,4-6 months,3-4,No,No,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),"$1k - $1,999",,7,7,7,7
82,83.0,1/8/2025 0:50:54,Maryland,Baltimore,,Sugar Baby Female,Black/African Descent,26-35,Married,Masters,White / Caucasian,46-55,Single,Masters,1-3 months,1-2,No,Yes,No,Yes,No,No,Yes,Weekly Allowance,< $300,,6,4,4,5
83,84.0,1/16/2025 22:36:35,Maryland,annapolis,,Sugar Baby Female,Pacific Islander,26-35,Single,Bachelor Degree,Native American,56-65,Widow,Doctorate,Less than a month,1-2,No,No,No,No,Yes,Yes,Yes,Weekly Allowance,$700-$799,,6,7,7,7
84,85.0,1/16/2025 23:47:44,Virginia,Woodbridge,,Sugar Daddy,Latin / Hispanic,26-35,Married,Bachelor Degree,Latin / Hispanic,26-35,Single,Associate Degree,Less than a month,3-4,No,No,No,No,Yes,No,No,Pay Per Meet (PPM),$300-$399,,10,10,10,10
85,86.0,1/17/2025 11:50:29,Virginia,Tysonâs,,Sugar Daddy,East Indian,36-45,Married,Doctorate,White / Caucasian,26-35,Single,Some College,1-3 months,3-4,Yes,No,Yes,No,Yes,No,Yes,Monthly Allowance,,"$2k-$2,999",7,7,7,7
86,87.0,1/17/2025 15:34:25,Washington D.C.,Tysons,,Sugar Baby Female,White / Caucasian,18-25,Single,Bachelor Degree,White / Caucasian,46-55,Divorced,Bachelor Degree,Less than a month,3-4,No,Yes,Yes,Yes,No,Yes,No,Pay Per Meet (PPM),"$2k - $2,999",,7,9,9,10
87,88.0,1/20/2025 16:42:30,Washington D.C.,dc,,Sugar Baby Female,Black/African Descent,26-35,Single,Masters,White / Caucasian,46-55,Married,Doctorate,1-3 months,7-8,"Yes, No",Yes,Yes,No,Yes,Yes,Yes,Gifts and Experiences,,$10k or more,10,10,10,10
88,89.0,1/23/2025 21:38:17,Virginia,Herndon,,Sugar Baby Female,White / Caucasian,18-25,Open Relationship,High School Diploma,White / Caucasian,56-65,Divorced,Bachelor Degree,Less than a month,5-6,No,No,Yes,No,No,No,Yes,Pay Per Meet (PPM),$600-$699,,7,7,8,7
89,90.0,1/24/2025 18:50:49,Delaware,Dover,,Sugar Daddy,White / Caucasian,46-55,Single,Some College,Mixed,26-35,Single,Some College,More than 1 year,3-4,Yes,No,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),< $300,,8,7,5,6
90,91.0,2/4/2025 16:01:34,Maryland,Fort Washington,,Sugar Baby Female,Mixed,18-25,Single,Bachelor Degree,White / Caucasian,56-65,Married,High School Diploma,1-3 months,10+,Yes,No,No,No,No,Yes,Yes,Pay Per Meet (PPM),$600-$699,,7,8,6,8
91,92.0,2/5/2025 1:02:37,Delaware,Milford,,Sugar Daddy,Asian,26-35,Single,Bachelor Degree,Latin / Hispanic,26-35,Single,Some College,10-12 months,3-4,No,No,Yes,No,Yes,No,No,Pay Per Meet (PPM),$300-$399,,8,7,10,8
92,93.0,2/5/2025 12:09:25,Virginia,Woodbridge,,Sugar Baby Female,Latin / Hispanic,26-35,Single,High School Diploma,White / Caucasian,36-45,Divorced,Bachelor Degree,Less than a month,5-6,Yes,No,Yes,Yes,Yes,Yes,Yes,Pay Per Meet (PPM),< $300,,10,10,10,10
