,1.0,Timestamp,Which state are you in?,What city are you in,,I am a :,My race/ethnicity is:,My Age:,My Marital Status:,Education Level:,My Partner's race/ethnicity is:,My Partner's Age:,My Partner's Marital Status:,My Partner's Education Level:,Length of Time Together,Number of Dates (Monthly),Arrangement Questions [Are you Exclusive?],Arrangement Questions [Do you have more than one SR?],Arrangement Questions [Does your partner know your real Identity?],Arrangement Questions [Are your dates indoor only?],Arrangement Questions [Do you have overnight dates or travel together?],Arrangement Questions [Do you give or receive more for overnights or travel?],Arrangement Questions [Do you give or receive gifts on top of allowance?],Allowance Type:,PPM/Weekly Allowance Amount:,Allowance Amount: (Actual amount received or given. Not total budget. For gifts and experience only arrangements select how much spent on a monthly basis.),How happy are you with your current arrangement?,Are you satisfied with how much you receive or give financially?,Are you satisfied with how much time you spend together?,I feel I am getting enough effort/financial support from my partner for the money I spend/effort I put into the relationship?
15,16.0,1/22/2024 3:17:02,California,Los Angeles,,Sugar Baby Female,White / Caucasian,26-35,Single,Bachelor Degree,Middle Eastern,46-55,Single,Doctorate,More than 1 year,7-8,Yes,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,$10k or more,7,7,7,5
16,17.0,1/22/2024 22:22:01,California,San Diego,,Sugar Daddy,White / Caucasian,46-55,Married,Masters,White / Caucasian,36-45,Married,Masters,More than 1 year,5-6,No,Yes,Yes,No,Yes,No,Yes,Monthly Allowance,,"$1k- $1,999",10,10,8,10
17,18.0,1/22/2024 22:27:01,California,San Diego,,Sugar Daddy,White / Caucasian,46-55,Married,Masters,Latin / Hispanic,36-45,Widow,High School Diploma,More than 1 year,1-2,No,Yes,Yes,No,Yes,No,Yes,Gifts and Experiences,,"$1k- $1,999",8,10,8,8
18,19.0,1/23/2024 12:42:58,California,San Jose,,Sugar Baby Female,Native American,26-35,Single,Masters,Mixed,36-45,Single,Doctorate,Less than a month,3-4,Yes,No,Yes,No,Yes,No,Yes,Pay Per Meet (PPM),$500-$599,,9,8,8,8
19,20.0,1/23/2024 15:13:23,California,Los Angeles,,Sugar Baby Female,Asian,18-25,Single,Some College,White / Caucasian,26-35,Single,Bachelor Degree,Less than a month,1-2,No,No,No,No,No,No,Yes,Pay Per Meet (PPM),$300-$399,,10,10,10,10
20,21.0,1/23/2024 20:05:45,California,Los Angeles,,Sugar Daddy,Asian,26-35,Married,Bachelor Degree,Latin / Hispanic,26-35,Single,Some College,7-9 months,9-10,No,No,Yes,No,Yes,No,Yes,Pay Per Meet (PPM),$500-$599,,8,7,9,7
21,22.0,1/24/2024 6:23:31,California,San Francisco,,Sugar Baby Female,Mixed,26-35,Single,Bachelor Degree,East Indian,36-45,Divorced,Bachelor Degree,More than 1 year,3-4,No,Yes,Yes,No,Yes,Yes,No,Pay Per Meet (PPM),$500-$599,,7,4,8,3
22,23.0,1/26/2024 0:45:18,California,San Francisco,,Sugar Baby Female,Latin / Hispanic,18-25,Single,Some College,White / Caucasian,36-45,Single,Bachelor Degree,1-3 months,3-4,Yes,No,No,No,No,No,Yes,Pay Per Meet (PPM),$500-$599,,5,5,5,4
23,24.0,1/26/2024 18:21:15,California,San jose,,Sugar Baby Female,Mixed,26-35,Single,Bachelor Degree,East Indian,46-55,Open Relationship,Doctorate,7-9 months,3-4,No,Yes,No,No,Yes,Yes,Yes,Monthly Allowance,,"$3k-$3,999",9,9,5,9
24,25.0,1/27/2024 19:45:08,California,San Francisco,,Sugar Daddy,White / Caucasian,56-65,Divorced,Masters,White / Caucasian,26-35,Single,Bachelor Degree,More than 1 year,3-4,No,Yes,Yes,No,No,No,Yes,Pay Per Meet (PPM),$800-$899,,6,5,4,5
25,26.0,1/28/2024 1:26:16,California,san jose,,Sugar Daddy,Mixed,36-45,Open Relationship,Masters,,26-35,Open Relationship,Bachelor Degree,4-6 months,3-4,Yes,No,No,Yes,No,No,No,Monthly Allowance,,"$1k- $1,999",4,3,4,4
26,27.0,1/29/2024 6:01:11,California,san francisco,,Sugar Baby Female,White / Caucasian,26-35,Single,Bachelor Degree,,26-35,Single,High School Diploma,Less than a month,3-4,No,No,No,Yes,Yes,Yes,Yes,Monthly Allowance,,"$1k- $1,999",9,7,7,7
27,28.0,1/29/2024 13:50:05,California,Irvine,,Sugar Baby Female,Asian,36-45,Single,Bachelor Degree,Asian,56-65,Married,Doctorate,1-3 months,3-4,No,Yes,Yes,Yes,Yes,Yes,Yes,Monthly Allowance,,"$4k-$4,999",10,10,10,10
28,29.0,1/29/2024 13:50:58,California,Irvine,,Sugar Baby Female,Asian,36-45,Separated,Bachelor Degree,White / Caucasian,46-55,Divorced,Masters,1-3 months,1-2,No,Yes,No,No,Yes,Yes,Yes,Pay Per Meet (PPM),$700-$799,,10,10,10,10
29,30.0,1/30/2024 3:45:38,California,Simi valley,,Sugar Baby Male,Latin / Hispanic,18-25,Married,Some College,Latin / Hispanic,26-35,Married,Associate Degree,More than 1 year,3-4,No,No,Yes,Yes,No,No,Yes,Pay Per Meet (PPM),< $300,,10,10,10,10
30,31.0,1/30/2024 13:33:12,California,Orange,,Sugar Daddy,Asian,36-45,Single,Masters,White / Caucasian,26-35,Single,Bachelor Degree,1-3 months,3-4,Yes,No,Yes,No,No,No,Yes,Pay Per Meet (PPM),< $300,,8,9,10,10
31,32.0,1/31/2024 21:59:58,California,San Francisco,,Sugar Baby Female,White / Caucasian,18-25,Single,Bachelor Degree,Asian,36-45,Single,Masters,1-3 months,1-2,No,Yes,Yes,Yes,No,No,No,Pay Per Meet (PPM),"$2k - $2,999",,7,6,9,7
32,33.0,2/1/2024 2:58:03,California,Irvine,,Sugar Baby Female,White / Caucasian,36-45,Single,Associate Degree,,46-55,Open Relationship,Bachelor Degree,More than 1 year,7-8,Yes,No,No,No,Yes,Yes,Yes,Pay Per Meet (PPM),$400-$499,,10,10,7,3
33,34.0,2/1/2024 11:30:47,California,los angeles,,Sugar Daddy,White / Caucasian,26-35,Single,Bachelor Degree,Mixed,18-25,Single,Some College,More than 1 year,3-4,No,No,Yes,Yes,Yes,No,No,Pay Per Meet (PPM),$500-$599,,9,10,9,10
34,35.0,2/1/2024 21:48:56,California,sF,,Sugar Baby Female,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,66-75,Single,Bachelor Degree,7-9 months,1-2,Yes,No,Yes,Yes,No,No,No,Pay Per Meet (PPM),$500-$599,,5,5,5,3
35,36.0,2/3/2024 11:57:08,California,Sacramento,,Sugar Daddy,Asian,46-55,Divorced,Some College,Asian,26-35,Single,High School Diploma,1-3 months,3-4,No,No,Yes,No,No,No,No,Pay Per Meet (PPM),"$1k - $1,999",,5,10,10,10
36,37.0,2/3/2024 21:36:53,California,Inglewood,,Sugar Baby Female,Black/African Descent,36-45,Single,Some College,Native American,56-65,Married,Masters,1-3 months,1-2,Yes,No,Yes,No,No,Yes,No,Pay Per Meet (PPM),$500-$599,,1,5,4,4
37,38.0,2/7/2024 21:48:14,California,Los Angeles,,Sugar Baby Female,White / Caucasian,36-45,Married,Bachelor Degree,White / Caucasian,46-55,Divorced,Masters,1-3 months,1-2,Yes,No,Yes,No,Yes,No,Yes,Monthly Allowance,,"$4k-$4,999",8,7,7,10
38,39.0,2/8/2024 20:01:31,California,Bay Area,,Sugar Baby Female,Mixed,36-45,Single,Bachelor Degree,White / Caucasian,46-55,Married,High School Diploma,More than 1 year,10+,Yes,No,Yes,No,Yes,No,Yes,Monthly Allowance,,"$6k-$6,999",9,10,10,10
39,40.0,2/9/2024 2:18:29,California,Los Angeles,,Sugar Baby Female,Mixed,26-35,Single,Associate Degree,White / Caucasian,56-65,Single,Masters,Less than a month,3-4,No,No,No,No,No,No,No,Pay Per Meet (PPM),$900-$999,,10,10,10,10
40,41.0,2/10/2024 16:49:21,California,los angeles,,Sugar Daddy,White / Caucasian,56-65,Divorced,Masters,Mixed,26-35,Single,Some College,10-12 months,3-4,No,Yes,Yes,No,No,No,No,Pay Per Meet (PPM),$400-$499,,10,10,10,10
41,42.0,2/10/2024 16:50:40,California,los angeles,,Sugar Daddy,White / Caucasian,56-65,Divorced,Masters,Black/African Descent,18-25,Single,High School Diploma,10-12 months,1-2,No,Yes,No,Yes,No,No,No,Pay Per Meet (PPM),$300-$399,,10,10,10,10
42,43.0,2/10/2024 22:02:31,California,Los Angeles,,Sugar Baby Female,White / Caucasian,26-35,Single,Some College,White / Caucasian,46-55,Married,Masters,4-6 months,5-6,No,No,Yes,Yes,No,No,Yes,Pay Per Meet (PPM),$700-$799,,10,7,9,9
43,44.0,2/11/2024 12:01:15,California,San Francisco,,Sugar Baby Female,Asian,18-25,Single,Masters,East Indian,36-45,Married,Bachelor Degree,4-6 months,3-4,Yes,No,Yes,Yes,Yes,No,No,Pay Per Meet (PPM),$400-$499,,10,10,10,10
44,45.0,2/11/2024 12:38:46,California,San Diego,,Sugar Daddy,Asian,36-45,Married,Bachelor Degree,Latin / Hispanic,18-25,Single,Associate Degree,1-3 months,3-4,Yes,No,Yes,No,No,No,Yes,Pay Per Meet (PPM),$300-$399,,7,10,7,7
45,46.0,2/12/2024 0:35:38,California,Lake Forest,,Sugar Baby Female,White / Caucasian,46-55,Married,Some College,White / Caucasian,46-55,Married,Some College,1-3 months,1-2,Yes,No,Yes,Yes,No,Yes,Yes,Monthly Allowance,,"$2k-$2,999",7,6,6,6
46,47.0,2/12/2024 10:36:24,California,Irvine,,Sugar Daddy,Asian,46-55,Married,Bachelor Degree,White / Caucasian,26-35,Single,Some College,Less than a month,3-4,No,No,No,No,No,No,No,Pay Per Meet (PPM),$400-$499,,8,7,8,7
47,48.0,2/12/2024 15:01:27,California,San Jose,,Sugar Baby Female,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,66-75,Married,Bachelor Degree,10-12 months,1-2,No,Yes,Yes,Yes,No,Yes,Yes,Pay Per Meet (PPM),"$1k - $1,999",,10,10,10,10
48,49.0,2/12/2024 15:15:30,California,Yorba Linda,,Sugar Baby Male,Middle Eastern,18-25,Single,Bachelor Degree,Latin / Hispanic,46-55,Single,Bachelor Degree,Less than a month,3-4,Yes,No,No,No,No,No,No,Gifts and Experiences,,"$1k- $1,999",3,1,9,1
49,50.0,2/12/2024 17:35:34,California,San Jose,,Sugar Daddy,East Indian,56-65,Married,Masters,White / Caucasian,56-65,Single,Bachelor Degree,More than 1 year,1-2,No,Yes,Yes,No,No,Yes,Yes,Monthly Allowance,,"$1k- $1,999",8,9,7,8
50,51.0,2/12/2024 20:53:52,California,San Luis Obispo,,Sugar Daddy,Asian,26-35,Single,Some College,Asian,26-35,Single,Bachelor Degree,More than 1 year,3-4,Yes,No,Yes,No,Yes,Yes,Yes,Gifts and Experiences,,"$2k-$2,999",6,6,6,6
51,52.0,2/13/2024 13:48:20,California,Los Angeles,,Sugar Daddy,White / Caucasian,46-55,Divorced,Bachelor Degree,Latin / Hispanic,26-35,Divorced,Bachelor Degree,1-3 months,3-4,No,Yes,Yes,No,Yes,No,Yes,Monthly Allowance,,"$2k-$2,999",8,8,8,8
52,53.0,2/16/2024 3:50:59,California,Los Angeles,,Sugar Baby Female,Mixed,18-25,Single,Bachelor Degree,White / Caucasian,36-45,Open Relationship,Masters,Less than a month,1-2,Yes,No,Yes,Yes,No,No,No,Gifts and Experiences,,"$1k- $1,999",2,1,2,2
53,54.0,2/18/2024 20:42:09,California,Oakland,,Sugar Daddy,Asian,46-55,Married,Bachelor Degree,Asian,18-25,Single,Some College,7-9 months,1-2,Yes,No,No,No,No,No,Yes,Monthly Allowance,,"$1k- $1,999",5,9,4,3
54,55.0,2/20/2024 2:26:05,California,San Francisco,,Sugar Daddy,Latin / Hispanic,56-65,Married,Masters,White / Caucasian,18-25,Single,Some College,1-3 months,7-8,Yes,No,No,Yes,No,No,No,Pay Per Meet (PPM),$500-$599,,8,10,7,9
55,56.0,2/21/2024 14:16:02,California,San Diego,,Sugar Baby Female,Asian,26-35,Separated,Some College,White / Caucasian,56-65,Married,Masters,1-3 months,3-4,No,Yes,Yes,No,No,No,Yes,Monthly Allowance,,"$2k-$2,999",8,10,10,10
56,57.0,2/21/2024 21:09:27,California,Los Angeles,,Sugar Daddy,White / Caucasian,56-65,Divorced,Doctorate,White / Caucasian,26-35,Single,Bachelor Degree,More than 1 year,1-2,No,Yes,Yes,No,Yes,No,Yes,Pay Per Meet (PPM),$700-$799,,10,10,10,10
57,58.0,2/22/2024 17:12:15,California,Long Beach,,Sugar Baby Female,White / Caucasian,26-35,Single,Some College,White / Caucasian,46-55,Single,Masters,1-3 months,1-2,No,Yes,Yes,No,No,No,No,Pay Per Meet (PPM),$500-$599,,5,1,10,1
58,59.0,2/24/2024 11:54:45,California,San Francisco,,Sugar Daddy,Asian,36-45,Married,Bachelor Degree,Mixed,26-35,Single,Bachelor Degree,Less than a month,1-2,No,Yes,No,Yes,No,No,No,Pay Per Meet (PPM),$400-$499,,6,6,6,6
59,60.0,2/27/2024 18:05:49,California,San jose,,Sugar Baby Female,Asian,26-35,Single,Bachelor Degree,Asian,26-35,Single,Bachelor Degree,1-3 months,5-6,Yes,No,Yes,No,Yes,No,Yes,Monthly Allowance,,"$3k-$3,999",10,8,7,7
60,61.0,3/7/2024 4:27:55,California,San Francisco,,Sugar Baby Female,White / Caucasian,36-45,Single,Some College,White / Caucasian,56-65,Single,Masters,1-3 months,10+,No,Yes,Yes,No,Yes,No,Yes,Weekly Allowance,"$1k - $1,999",,8,8,10,10
61,62.0,3/7/2024 4:31:43,California,San Francisco,,Sugar Baby Female,White / Caucasian,36-45,Single,Some College,White / Caucasian,56-65,Married,Bachelor Degree,1-3 months,3-4,No,Yes,Yes,Yes,No,No,"Yes, No",Gifts and Experiences,,"$1k- $1,999",3,3,3,3
62,63.0,3/7/2024 4:34:18,California,Marin,,Sugar Baby Female,White / Caucasian,36-45,Single,Some College,White / Caucasian,56-65,Single,Masters,Less than a month,3-4,No,Yes,Yes,No,No,No,No,Pay Per Meet (PPM),$500-$599,,6,6,7,7
63,64.0,3/11/2024 6:11:20,California,irvine,,Sugar Daddy,White / Caucasian,36-45,Single,High School Diploma,Latin / Hispanic,18-25,Single,Some College,10-12 months,10+,Yes,No,Yes,No,Yes,No,Yes,Monthly Allowance,,"$6k-$6,999",10,10,10,10
64,65.0,3/22/2024 10:31:46,California,Diego,,Sugar Baby Female,Asian,36-45,Single,Masters,White / Caucasian,56-65,Single,Bachelor Degree,4-6 months,1-2,No,No,No,No,No,No,No,Pay Per Meet (PPM),$500-$599,,10,10,9,8
65,66.0,3/22/2024 22:10:50,California,Irvine,,Sugar Daddy,White / Caucasian,56-65,Divorced,Bachelor Degree,Pacific Islander,26-35,Single,Some College,1-3 months,3-4,No,Yes,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),$800-$899,,8,8,5,3
66,67.0,3/24/2024 1:43:32,California,Oakland,,Sugar Daddy,Black/African Descent,56-65,Open Relationship,Masters,White / Caucasian,26-35,Single,Some College,Less than a month,3-4,No,No,Yes,No,No,No,Yes,Pay Per Meet (PPM),$800-$899,,7,5,5,5
67,68.0,3/25/2024 12:11:26,California,San Francisco,,Sugar Daddy,White / Caucasian,36-45,Married,Doctorate,Asian,26-35,Single,Some College,4-6 months,1-2,No,No,Yes,No,Yes,No,Yes,Pay Per Meet (PPM),$500-$599,,8,5,8,10
68,69.0,3/25/2024 12:59:58,California,San Francisco,,Sugar Baby Female,Asian,26-35,Single,Associate Degree,White / Caucasian,36-45,Married,Bachelor Degree,4-6 months,1-2,No,No,Yes,No,Yes,No,No,Pay Per Meet (PPM),$500-$599,,8,3,5,1
69,70.0,3/29/2024 22:42:38,California,San Jose,,Sugar Baby Female,Mixed,46-55,Open Relationship,Some College,White / Caucasian,46-55,Divorced,Some College,1-3 months,3-4,No,Yes,Yes,Yes,Yes,Yes,Yes,Pay Per Meet (PPM),$500-$599,,7,7,7,7
70,71.0,3/30/2024 13:21:30,California,Los Angeles,,Sugar Daddy,White / Caucasian,66-75,Divorced,Masters,Asian,26-35,Separated,Some College,1-3 months,1-2,No,No,No,No,No,Yes,Yes,Pay Per Meet (PPM),$400-$499,,8,8,6,9
71,72.0,3/30/2024 22:51:08,California,Irvine,,Sugar Baby Female,White / Caucasian,18-25,Single,Bachelor Degree,White / Caucasian,66-75,Divorced,Bachelor Degree,More than 1 year,3-4,No,No,Yes,No,Yes,No,No,Pay Per Meet (PPM),$700-$799,,7,6,8,7
72,73.0,4/2/2024 10:56:04,California,Los Ãngeles,,Sugar Baby Female,Asian,18-25,Single,Bachelor Degree,White / Caucasian,56-65,Married,Doctorate,1-3 months,1-2,No,No,"Yes, No","Yes, No",No,No,No,Pay Per Meet (PPM),$900-$999,,3,5,5,5
73,74.0,4/8/2024 22:23:27,California,Los Angeles,,Sugar Daddy,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,18-25,Single,Some College,Less than a month,1-2,No,No,Yes,No,No,No,No,Pay Per Meet (PPM),$500-$599,,9,7,5,6
74,75.0,4/13/2024 17:20:33,California,Los Angeles,,Sugar Daddy,White / Caucasian,36-45,Single,Some College,White / Caucasian,26-35,Single,Some College,1-3 months,1-2,No,No,No,No,No,No,Yes,Pay Per Meet (PPM),$500-$599,,7,5,5,7
75,76.0,4/15/2024 1:30:27,California,San Francisco,,Sugar Baby Female,White / Caucasian,18-25,Single,Bachelor Degree,Asian,36-45,Married,Masters,1-3 months,3-4,Yes,"Yes, No",No,Yes,Yes,Yes,Yes,Weekly Allowance,"$1k - $1,999",,8,9,8,9
76,77.0,4/18/2024 22:51:17,California,San Jose,,Sugar Daddy,East Indian,36-45,Single,Bachelor Degree,Asian,18-25,Single,Some College,1-3 months,1-2,No,Yes,No,No,Yes,No,No,Pay Per Meet (PPM),$400-$499,,7,7,8,6
77,78.0,4/19/2024 0:00:14,California,San Jose,,Sugar Daddy,East Indian,36-45,Married,Bachelor Degree,Asian,26-35,Single,Some College,Less than a month,1-2,Yes,No,No,Yes,No,No,No,Pay Per Meet (PPM),$600-$699,,10,10,3,10
78,79.0,4/21/2024 4:18:02,California,Los Angeles,,Sugar Baby Male,Black/African Descent,18-25,Single,Bachelor Degree,White / Caucasian,36-45,Open Relationship,Masters,More than 1 year,3-4,Yes,No,Yes,No,Yes,Yes,Yes,Gifts and Experiences,,"$3k-$3,999",10,10,10,7
79,80.0,4/24/2024 14:44:57,California,San Francisco,,Sugar Baby Female,Latin / Hispanic,18-25,Single,Associate Degree,White / Caucasian,46-55,Divorced,Masters,4-6 months,5-6,No,No,No,No,Yes,No,No,Monthly Allowance,,"$4k-$4,999",5,5,1,5
80,81.0,4/29/2024 13:11:56,California,Costa Mesa,,Sugar Daddy,Mixed,36-45,Married,Bachelor Degree,Mixed,18-25,Single,Bachelor Degree,More than 1 year,1-2,No,No,No,Yes,No,No,No,Pay Per Meet (PPM),$500-$599,,8,8,8,8
81,82.0,4/30/2024 11:51:43,California,San jose,,Sugar Daddy,Asian,26-35,Single,Masters,White / Caucasian,18-25,Single,Some College,Less than a month,1-2,No,No,No,Yes,No,No,No,Pay Per Meet (PPM),$300-$399,,6,6,6,8
82,83.0,4/30/2024 16:56:39,California,Redding,,Sugar Baby Female,White / Caucasian,26-35,Single,High School Diploma,White / Caucasian,26-35,Married,High School Diploma,1-3 months,3-4,No,No,Yes,No,No,No,No,Monthly Allowance,,"$1k- $1,999",3,1,1,1
83,84.0,5/2/2024 16:27:55,California,Los Angeles,,Sugar Daddy,Asian,36-45,Single,Masters,White / Caucasian,26-35,Single,Bachelor Degree,1-3 months,3-4,Yes,No,Yes,Yes,Yes,No,No,Pay Per Meet (PPM),$300-$399,,9,10,8,8
84,85.0,5/5/2024 16:17:29,California,Los Angeles,,Sugar Daddy,White / Caucasian,46-55,Single,Bachelor Degree,White / Caucasian,18-25,Single,Bachelor Degree,1-3 months,1-2,No,No,Yes,No,No,No,Yes,Gifts and Experiences,,"$3k-$3,999",1,5,1,6
85,86.0,5/6/2024 12:19:15,California,San Jose,,Sugar Daddy,White / Caucasian,36-45,Divorced,High School Diploma,White / Caucasian,36-45,Single,Bachelor Degree,1-3 months,1-2,No,Yes,Yes,No,No,No,No,Pay Per Meet (PPM),$800-$899,,10,7,10,8
86,87.0,5/13/2024 7:48:17,California,LA,,Sugar Baby Female,Asian,18-25,Single,Masters,White / Caucasian,56-65,Married,Doctorate,More than 1 year,3-4,No,Yes,Yes,No,Yes,Yes,Yes,Monthly Allowance,,$10k or more,9,9,8,9
87,88.0,5/13/2024 8:05:49,California,Montecito,,Sugar Baby Female,White / Caucasian,18-25,Single,Doctorate,White / Caucasian,56-65,Open Relationship,Doctorate,More than 1 year,5-6,No,Yes,Yes,Yes,Yes,Yes,Yes,Gifts and Experiences,,$10k or more,8,7,9,8
88,89.0,5/13/2024 8:07:17,California,Los Angeles,,Sugar Baby Female,Pacific Islander,26-35,Open Relationship,Masters,White / Caucasian,46-55,Married,Masters,10-12 months,3-4,No,Yes,Yes,No,No,Yes,Yes,Weekly Allowance,$3k or more,,7,9,7,7
89,90.0,5/17/2024 3:40:23,California,Los Angeles,,Sugar Baby Female,"Mixed, white/asian",26-35,Single,Bachelor Degree,White / Caucasian,36-45,Single,Bachelor Degree,7-9 months,7-8,No,Yes,Yes,No,No,No,No,Monthly Allowance,,"$4k-$4,999",8,8,9,9
90,91.0,5/21/2024 17:03:58,California,San Diego,,Sugar Baby Female,White / Caucasian,36-45,Single,Bachelor Degree,White / Caucasian,36-45,Single,Bachelor Degree,Less than a month,3-4,No,No,No,No,No,No,No,Weekly Allowance,"$1k - $1,999",,6,8,8,8
91,92.0,5/21/2024 17:12:16,California,San Leandro,,Sugar Baby Female,Asian,26-35,Single,Some College,White / Caucasian,26-35,Married,Bachelor Degree,1-3 months,1-2,No,Yes,Yes,No,Yes,No,No,Pay Per Meet (PPM),$800-$899,,10,10,6,10
92,93.0,5/22/2024 2:02:26,California,San Francisco,,Sugar Baby Female,White / Caucasian,18-25,Single,Bachelor Degree,Asian,26-35,Single,Masters,1-3 months,3-4,No,Yes,Yes,No,No,No,No,Pay Per Meet (PPM),"$2k - $2,999",,8,6,8,6
93,94.0,5/22/2024 14:59:21,California,Visalia,,Sugar Baby Female,White / Caucasian,26-35,Married,Associate Degree,East Indian,46-55,Married,Doctorate,1-3 months,1-2,No,No,Yes,Yes,No,No,No,Pay Per Meet (PPM),"$1k - $1,999",,5,5,8,5
94,95.0,5/22/2024 20:16:25,California,san diego,,Sugar Baby Female,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Divorced,Bachelor Degree,More than 1 year,3-4,No,No,Yes,No,No,No,Yes,Monthly Allowance,,"$1k- $1,999",9,8,10,10
95,96.0,5/23/2024 2:50:16,California,Los Angeles,,Sugar Baby Female,Asian,26-35,Single,Bachelor Degree,Asian,46-55,Married,Masters,Less than a month,3-4,No,Yes,No,No,No,No,Yes,Monthly Allowance,,"$6k-$6,999",8,8,9,9
