,1.0,Timestamp,Which state are you in?,What city are you in,,I am a :,My race/ethnicity is:,My Age:,My Marital Status:,Education Level:,My Partner's race/ethnicity is:,My Partner's Age:,My Partner's Marital Status:,My Partner's Education Level:,Length of Time Together,Number of Dates (Monthly),Arrangement Questions [Are you Exclusive?],Arrangement Questions [Do you have more than one SR?],Arrangement Questions [Does your partner know your real Identity?],Arrangement Questions [Are your dates indoor only?],Arrangement Questions [Do you have overnight dates or travel together?],Arrangement Questions [Do you give or receive more for overnights or travel?],Arrangement Questions [Do you give or receive gifts on top of allowance?],Allowance Type:,PPM/Weekly Allowance Amount:,Allowance Amount: (Actual amount received or given. Not total budget. For gifts and experience only arrangements select how much spent on a monthly basis.),How happy are you with your current arrangement?,Are you satisfied with how much you receive or give financially?,Are you satisfied with how much time you spend together?,I feel I am getting enough effort/financial support from my partner for the money I spend/effort I put into the relationship?
30,31.0,12/4/2024 0:28:18,Colorado,Denver,,Sugar Daddy,White / Caucasian,56-65,Married,Masters,White / Caucasian,26-35,Single,Some College,4-6 months,1-2,No,Yes,Yes,Yes,No,Yes,No,Pay Per Meet (PPM),$800-$899,,8,2,5,6
31,32.0,12/19/2024 1:45:44,Colorado,Denver,,Sugar Daddy,White / Caucasian,46-55,Single,Bachelor Degree,Latin / Hispanic,18-25,Single,Some College,4-6 months,3-4,No,No,Yes,Yes,No,No,Yes,Monthly Allowance,,"$2k-$2,999",7,7,6,4
32,33.0,12/22/2024 14:56:45,Colorado,Broomfield,,Sugar Daddy,White / Caucasian,46-55,Divorced,Some College,White / Caucasian,18-25,Single,High School Diploma,Less than a month,1-2,No,Yes,Yes,No,No,Yes,Yes,Pay Per Meet (PPM),$700-$799,,8,9,9,8
33,34.0,1/22/2024 15:16:20,Idaho,Coeur d'Alene,,Sugar Daddy,White / Caucasian,46-55,Open Relationship,Bachelor Degree,White / Caucasian,36-45,Divorced,High School Diploma,Less than a month,1-2,No,No,Yes,No,No,Yes,Yes,Pay Per Meet (PPM),$400-$499,,9,9,5,8
34,35.0,2/7/2024 12:37:27,Idaho,Couer DâAlene,,Sugar Baby Female,Latin / Hispanic,18-25,Single,Some College,White / Caucasian,56-65,Married,Masters,More than 1 year,3-4,No,Yes,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),$800-$899,,7,5,5,5
35,36.0,3/25/2024 12:22:13,Idaho,Lewiston,,Sugar Daddy,White / Caucasian,46-55,Widow,High School Diploma,Latin / Hispanic,26-35,Single,High School Diploma,4-6 months,3-4,Yes,No,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),$400-$499,,9,8,8,8
36,37.0,6/26/2024 1:29:03,Idaho,Meridian,,Sugar Baby Female,White / Caucasian,36-45,Single,Bachelor Degree,White / Caucasian,56-65,Married,Masters,Less than a month,3-4,Yes,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$5k-$5,999",10,7,10,10
37,38.0,7/5/2024 17:42:58,Idaho,Boise,,Sugar Daddy,White / Caucasian,46-55,Single,Bachelor Degree,White / Caucasian,26-35,Single,Some College,4-6 months,3-4,Yes,No,Yes,No,No,Yes,Yes,Monthly Allowance,,"$1k- $1,999",7,7,5,6
38,39.0,7/23/2024 12:04:21,Idaho,Idaho Falls,,Sugar Baby Female,White / Caucasian,26-35,Open Relationship,Doctorate,White / Caucasian,36-45,Open Relationship,Bachelor Degree,4-6 months,3-4,No,Yes,Yes,No,Yes,No,Yes,Pay Per Meet (PPM),"$1k - $1,999",,10,10,10,10
39,40.0,9/16/2024 2:59:18,Idaho,Star,,Sugar Baby Female,White / Caucasian,36-45,Separated,Some College,White / Caucasian,36-45,Separated,Associate Degree,More than 1 year,3-4,No,Yes,Yes,Yes,Yes,Yes,Yes,Monthly Allowance,,"$4k-$4,999",7,5,5,10
40,41.0,2/23/2024 13:47:03,Montana,Great falls,,Sugar Baby Female,Latin / Hispanic,18-25,Single,Some College,No partner. Ignore all selected,18-25,Single,Less than High School,4-6 months,3-4,"Yes, No",No,No,No,Yes,Yes,Yes,Pay Per Meet (PPM),< $300,,5,2,5,2
41,42.0,4/21/2024 12:29:15,Montana,Missoula,,Sugar Baby Female,White / Caucasian,18-25,Single,Bachelor Degree,White / Caucasian,56-65,Divorced,Associate Degree,7-9 months,3-4,No,No,No,Yes,No,No,No,Pay Per Meet (PPM),$300-$399,,3,1,3,2
42,43.0,5/10/2024 9:49:07,Montana,Bozeman,,Sugar Baby Female,White / Caucasian,18-25,Single,High School Diploma,White / Caucasian,56-65,Single,Some College,Less than a month,3-4,No,Yes,Yes,Yes,No,Yes,Yes,Pay Per Meet (PPM),$900-$999,,8,8,10,10
43,44.0,7/20/2024 21:26:10,Montana,Bozeman,,Sugar Daddy,White / Caucasian,46-55,Open Relationship,Bachelor Degree,White / Caucasian,46-55,Open Relationship,Bachelor Degree,More than 1 year,1-2,No,Yes,Yes,No,No,No,No,Pay Per Meet (PPM),$300-$399,,8,8,5,9
44,45.0,1/3/2025 23:08:31,Montana,Bozeman,,Sugar Baby Female,Latin / Hispanic,26-35,Married,Bachelor Degree,White / Caucasian,36-45,Separated,Some College,Less than a month,3-4,Yes,Yes,No,Yes,No,No,No,Pay Per Meet (PPM),$600-$699,,6,6,6,6
45,46.0,1/21/2024 18:52:31,Nevada,Las Vegas,,Sugar Baby Female,White / Caucasian,18-25,Single,Masters,White / Caucasian,36-45,Divorced,Masters,1-3 months,10+,No,No,Yes,No,Yes,No,Yes,Monthly Allowance,,"$3k-$3,999",10,10,10,10
46,47.0,3/22/2024 10:40:28,Nevada,Las Vegas,,Sugar Daddy,Asian,46-55,Single,Masters,White / Caucasian,26-35,Single,High School Diploma,1-3 months,3-4,Yes,No,No,Yes,No,No,No,Pay Per Meet (PPM),$500-$599,,6,5,5,6
47,48.0,4/16/2024 5:33:25,Nevada,Las Vegas,,Sugar Baby Female,Mixed,26-35,Single,High School Diploma,Latin / Hispanic,46-55,Divorced,Some College,7-9 months,3-4,No,Yes,Yes,No,Yes,Yes,Yes,Weekly Allowance,"$1k - $1,999",,10,10,10,10
48,49.0,6/1/2024 13:56:03,Nevada,Las vegas,,Sugar Baby Female,White / Caucasian,36-45,Divorced,Bachelor Degree,White / Caucasian,36-45,Single,Doctorate,Less than a month,3-4,No,Yes,No,No,Yes,Yes,Yes,Weekly Allowance,$500-$599,,8,9,9,9
49,50.0,6/1/2024 15:34:32,Nevada,Las Vegas,,Sugar Baby Female,White / Caucasian,18-25,Single,High School Diploma,White / Caucasian,46-55,Single,Bachelor Degree,Less than a month,3-4,No,Yes,No,Yes,No,Yes,No,Pay Per Meet (PPM),$300-$399,,4,4,3,4
50,51.0,7/31/2024 13:14:01,Nevada,Las Vegas,,Sugar Baby Female,Black/African Descent,18-25,Single,High School Diploma,Black/African Descent,36-45,Single,Masters,More than 1 year,7-8,Yes,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$5k-$5,999",6,5,7,3
51,52.0,8/12/2024 8:30:48,Nevada,las vegas,,Sugar Baby Female,Asian,26-35,Divorced,Bachelor Degree,White / Caucasian,46-55,Married,Bachelor Degree,1-3 months,1-2,No,Yes,No,No,Yes,Yes,Yes,Pay Per Meet (PPM),$900-$999,,8,8,8,8
52,53.0,9/8/2024 7:13:04,Nevada,Las Vegas,,Sugar Baby Female,Black/African Descent,26-35,Single,Bachelor Degree,White / Caucasian,66-75,Married,Masters,More than 1 year,7-8,Yes,No,Yes,No,Yes,Yes,No,Pay Per Meet (PPM),$800-$899,,5,3,8,3
53,54.0,9/14/2024 20:12:55,Nevada,North Las Vegas,,Sugar Baby Female,Mixed,46-55,Divorced,Associate Degree,Black/African Descent,26-35,Single,Bachelor Degree,7-9 months,10+,Yes,No,Yes,No,No,Yes,Yes,Monthly Allowance,,"$5k-$5,999",4,6,3,6
54,55.0,9/24/2024 13:15:29,Nevada,Las Vegas,,Sugar Daddy,White / Caucasian,56-65,Single,Doctorate,White / Caucasian,26-35,Single,Bachelor Degree,10-12 months,9-10,No,Yes,Yes,No,Yes,No,Yes,Monthly Allowance,,"$2k-$2,999",9,8,10,10
55,56.0,9/24/2024 15:46:45,Nevada,Las vegas,,Sugar Daddy,White / Caucasian,56-65,Single,Doctorate,White / Caucasian,26-35,Divorced,Bachelor Degree,4-6 months,3-4,No,Yes,Yes,No,No,No,No,Pay Per Meet (PPM),$600-$699,,9,9,9,8
56,57.0,10/26/2024 8:01:11,Nevada,Incline village,,Sugar Daddy,,36-45,Single,Masters,,18-25,Single,Bachelor Degree,More than 1 year,3-4,Yes,Yes,No,No,Yes,Yes,Yes,Monthly Allowance,,$8-$8.999,8,5,5,5
57,58.0,11/17/2024 16:55:50,Nevada,Reno,,Sugar Daddy,White / Caucasian,56-65,Married,Bachelor Degree,White / Caucasian,18-25,Single,Bachelor Degree,1-3 months,1-2,Yes,No,Yes,Yes,No,No,Yes,Monthly Allowance,,"$1k- $1,999",8,5,5,8
58,59.0,12/3/2024 3:26:55,Nevada,Las Vegas,,Sugar Daddy,Latin / Hispanic,26-35,Single,Masters,White / Caucasian,36-45,Divorced,Associate Degree,4-6 months,1-2,No,No,Yes,No,No,No,No,Pay Per Meet (PPM),$500-$599,,10,10,10,10
59,60.0,12/15/2024 20:51:16,Nevada,Las vegas,,Sugar Daddy,White / Caucasian,66-75,Single,Doctorate,White / Caucasian,26-35,Single,Bachelor Degree,More than 1 year,10+,No,No,Yes,No,Yes,No,No,Monthly Allowance,,"$2k-$2,999",10,10,10,10
60,61.0,2/5/2024 0:09:08,Utah,Salt lake city,,Sugar Daddy,Asian,26-35,Single,Doctorate,,26-35,Single,Some College,1-3 months,3-4,No,No,No,No,Yes,Yes,Yes,Pay Per Meet (PPM),"$1k - $1,999",,7,6,6,6
61,62.0,2/25/2024 13:23:24,Utah,Salt Lake City,,Sugar Baby Female,Latin / Hispanic,18-25,Single,Some College,,36-45,Open Relationship,Bachelor Degree,10-12 months,3-4,No,No,No,No,"Yes, No",Yes,Yes,Weekly Allowance,$800-$899,,9,10,10,9
62,63.0,3/16/2024 14:05:18,Utah,Salt Lake City,,Sugar Daddy,Mixed,46-55,Divorced,Doctorate,Mixed,26-35,Single,Some College,More than 1 year,10+,No,No,Yes,No,Yes,No,Yes,Gifts and Experiences,,$10k or more,10,10,7,10
63,64.0,5/8/2024 3:10:55,Utah,SLC,,Sugar Baby Female,Asian,18-25,Single,Some College,White / Caucasian,56-65,Divorced,Doctorate,4-6 months,3-4,Yes,No,No,No,No,No,Yes,Monthly Allowance,,"$7k-$7,999",8,9,10,10
64,65.0,6/25/2024 20:24:19,Utah,Salt Lake City,,Sugar Daddy,White / Caucasian,56-65,Married,Doctorate,White / Caucasian,46-55,Single,Masters,More than 1 year,5-6,No,No,Yes,No,Yes,No,Yes,Monthly Allowance,,"$5k-$5,999",8,7,6,5
65,66.0,7/14/2024 0:54:37,Utah,Salt Lake,,Sugar Baby Female,Latin / Hispanic,36-45,Married,Bachelor Degree,White / Caucasian,46-55,Divorced,Associate Degree,More than 1 year,3-4,No,Yes,Yes,No,No,No,No,Pay Per Meet (PPM),$500-$599,,1,4,10,9
66,67.0,7/17/2024 1:31:26,Utah,Provo,,Sugar Baby Female,White / Caucasian,18-25,Single,Some College,White / Caucasian,46-55,Divorced,Bachelor Degree,1-3 months,3-4,No,Yes,Yes,Yes,No,No,No,Pay Per Meet (PPM),$500-$599,,9,9,9,9
67,68.0,8/16/2024 20:48:06,Utah,Cedar city,,Sugar Baby Female,White / Caucasian,36-45,Open Relationship,Some College,White / Caucasian,56-65,Married,Bachelor Degree,Less than a month,3-4,No,Yes,No,Yes,No,No,Yes,Pay Per Meet (PPM),$300-$399,,7,7,8,9
68,69.0,10/8/2024 21:41:19,Utah,Murray,,Sugar Daddy,Latin / Hispanic,36-45,Married,Bachelor Degree,White / Caucasian,26-35,Married,Less than High School,More than 1 year,3-4,No,No,Yes,No,Yes,Yes,Yes,Gifts and Experiences,,"$4k-$4,999",3,3,1,1
69,70.0,10/24/2024 20:00:34,Utah,Salt Lake City,,Sugar Baby Female,Asian,26-35,Single,Associate Degree,White / Caucasian,56-65,Single,Bachelor Degree,4-6 months,1-2,No,Yes,Yes,No,No,No,Yes,Pay Per Meet (PPM),$600-$699,,7,6,9,5
70,71.0,10/24/2024 20:02:05,Utah,Salt lake city,,Sugar Baby Female,Asian,26-35,Single,Associate Degree,White / Caucasian,46-55,Divorced,High School Diploma,4-6 months,1-2,No,Yes,Yes,Yes,No,No,No,Pay Per Meet (PPM),$700-$799,,3,1,5,1
71,72.0,11/23/2024 21:07:01,Utah,Salt Lake City,,Sugar Baby Female,White / Caucasian,46-55,Single,Bachelor Degree,White / Caucasian,56-65,Single,Doctorate,More than 1 year,3-4,No,Yes,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),$700-$799,,8,7,7,5
72,73.0,12/29/2024 16:54:48,Utah,Salt Lake City,,Sugar Daddy,East Indian,36-45,Single,Masters,White / Caucasian,26-35,Single,Some College,Less than a month,1-2,No,No,Yes,Yes,Yes,Yes,Yes,Monthly Allowance,,"$1k- $1,999",5,6,5,6
73,74.0,1/21/2024 22:54:29,Wyoming,Casper,,Sugar Baby Female,White / Caucasian,36-45,Single,Bachelor Degree,White / Caucasian,46-55,Married,Doctorate,1-3 months,5-6,Yes,No,Yes,Yes,No,No,No,Monthly Allowance,,"$2k-$2,999",8,6,7,3
74,75.0,2/12/2024 21:11:30,Wyoming,Jackson,,Sugar Daddy,White / Caucasian,26-35,Single,Masters,White / Caucasian,26-35,Single,Masters,4-6 months,10+,Yes,No,Yes,No,Yes,No,Yes,Monthly Allowance,,$10k or more,10,10,10,7
75,76.0,12/21/2024 21:15:06,Wyoming,Casper,,Sugar Baby Female,White / Caucasian,46-55,Married,Bachelor Degree,White / Caucasian,56-65,Married,Bachelor Degree,Less than a month,1-2,No,No,No,Yes,No,No,No,Monthly Allowance,,"$1k- $1,999",2,2,2,4
76,77.0,1/8/2025 13:50:37,Colorado,Denver,,Sugar Daddy,White / Caucasian,56-65,Separated,Doctorate,White / Caucasian,46-55,Divorced,Bachelor Degree,More than 1 year,3-4,Yes,No,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),$400-$499,,8,7,5,5
77,78.0,1/12/2025 0:58:53,Nevada,Reno,,Sugar Mama,,26-35,Married,Bachelor Degree,,26-35,Married,Bachelor Degree,Less than a month,1-2,No,No,Yes,Yes,Yes,Yes,Yes,Pay Per Meet (PPM),$300-$399,,10,10,10,10
78,79.0,1/20/2025 0:01:45,Nevada,Las vegas,,Sugar Daddy,White / Caucasian,66-75,Single,Doctorate,White / Caucasian,26-35,Single,Bachelor Degree,More than 1 year,5-6,No,Yes,Yes,No,Yes,No,Yes,Monthly Allowance,,"$2k-$2,999",10,7,9,8
79,80.0,1/23/2025 13:02:23,Utah,SLC,,Sugar Daddy,White / Caucasian,36-45,Separated,Masters,White / Caucasian,18-25,Open Relationship,Some College,1-3 months,3-4,No,Yes,Yes,No,Yes,No,No,Pay Per Meet (PPM),$400-$499,,9,7,7,10
80,81.0,1/24/2025 13:33:59,Idaho,Boise,,Sugar Baby Female,White / Caucasian,26-35,Single,Doctorate,,56-65,Single,Masters,4-6 months,3-4,No,Yes,Yes,No,Yes,Yes,No,Pay Per Meet (PPM),$600-$699,,7,7,7,7
81,82.0,1/24/2025 13:40:36,Nevada,Las vegas,,Sugar Baby Female,Mixed,26-35,Single,Some College,White / Caucasian,36-45,Married,Masters,More than 1 year,1-2,Yes,No,Yes,Yes,No,No,No,Pay Per Meet (PPM),$500-$599,,8,5,10,5
82,83.0,1/30/2025 4:37:27,Colorado,Denver,,Sugar Daddy,White / Caucasian,36-45,Married,Doctorate,Latin / Hispanic,26-35,Single,Doctorate,Less than a month,10+,No,No,Yes,No,Yes,Yes,Yes,Weekly Allowance,$3k or more,,10,10,10,10
83,84.0,2/2/2025 21:04:13,Colorado,Englewood,,Sugar Baby Female,White / Caucasian,26-35,Single,Bachelor Degree,,46-55,Single,Bachelor Degree,Less than a month,3-4,No,Yes,No,Yes,No,No,No,Weekly Allowance,$500-$599,,7,5,5,4
84,85.0,2/3/2025 2:53:14,Colorado,Denver,,Sugar Daddy,White / Caucasian,36-45,Single,Some College,White / Caucasian,26-35,Single,Doctorate,Less than a month,3-4,Yes,No,Yes,No,Yes,No,Yes,Monthly Allowance,,"$3k-$3,999",10,10,10,10
85,86.0,2/4/2025 17:17:19,Wyoming,Cheyenne,,Sugar Baby Female,White / Caucasian,26-35,Separated,High School Diploma,Black/African Descent,46-55,Single,High School Diploma,Less than a month,1-2,No,Yes,Yes,Yes,No,Yes,No,Pay Per Meet (PPM),< $300,,4,1,1,4
86,87.0,2/10/2025 20:30:35,Montana,Billings,,Sugar Baby Female,White / Caucasian,26-35,Single,High School Diploma,White / Caucasian,56-65,Married,High School Diploma,Less than a month,10+,No,Yes,No,Yes,No,Yes,Yes,Weekly Allowance,$800-$899,,5,5,5,5
87,88.0,2/27/2025 11:19:14,Colorado,Denver,,Sugar Daddy,White / Caucasian,56-65,Open Relationship,Masters,Black/African Descent,18-25,Single,High School Diploma,1-3 months,1-2,No,Yes,No,No,Yes,No,Yes,Gifts and Experiences,,"$1k- $1,999",3,1,1,2
88,89.0,2/27/2025 11:20:45,Colorado,Denver,,Sugar Daddy,White / Caucasian,56-65,Open Relationship,Masters,Black/African Descent,36-45,Divorced,High School Diploma,Less than a month,3-4,No,Yes,No,Yes,No,No,No,Pay Per Meet (PPM),< $300,,8,9,8,9
89,90.0,2/27/2025 11:22:15,Colorado,Denver,,Sugar Daddy,White / Caucasian,56-65,Open Relationship,Masters,White / Caucasian,18-25,Single,Bachelor Degree,More than 1 year,3-4,No,Yes,Yes,Yes,No,No,Yes,Pay Per Meet (PPM),< $300,,7,6,6,4
